"variable","value","problemSize"
"mpiTime",0.000632,64
"mpiTime",0.003575,64
"mpiTime",0.007567,64
"mpiTime",0.012849,64
"mpiTime",0.016593,64
"mpiTime",0.021444,64
"mpiTime",0.021505,64
"mpiTime",0.021604,64
"mpiTime",0.02166,64
"mpiTime",0.021816,64
"mpiTime",0.021881,64
"mpiTime",0.021949,64
"mpiTime",0.022027,64
"mpiTime",0.022104,64
"mpiTime",0.022177,64
"mpiTime",0.022259,64
"mpiTime",0.011486,64
"mpiTime",0.018077,64
"mpiTime",0.022452,64
"mpiTime",0.002993,64
"mpiTime",0.00675,64
"mpiTime",0.013638,64
"mpiTime",0.010137,64
"mpiTime",0.008353,64
"mpiTime",0.005615,64
"mpiTime",0.004492,64
"mpiTime",0.023098,64
"mpiTime",0.02119,64
"mpiTime",0.002737,64
"mpiTime",0.023397,64
"mpiTime",0.016413,64
"mpiTime",0.023442,64
"mpiTime",0.005028,512
"mpiTime",0.005112,512
"mpiTime",0.005188,512
"mpiTime",0.005307,512
"mpiTime",0.005415,512
"mpiTime",0.005501,512
"mpiTime",0.005585,512
"mpiTime",0.005714,512
"mpiTime",0.005811,512
"mpiTime",0.005994,512
"mpiTime",0.00611,512
"mpiTime",0.00624,512
"mpiTime",0.006366,512
"mpiTime",0.006497,512
"mpiTime",0.006609,512
"mpiTime",0.006728,512
"mpiTime",0.006923,512
"mpiTime",0.007111,512
"mpiTime",0.007313,512
"mpiTime",0.007519,512
"mpiTime",0.007715,512
"mpiTime",0.007898,512
"mpiTime",0.008109,512
"mpiTime",0.008339,512
"mpiTime",0.008545,512
"mpiTime",0.008814,512
"mpiTime",0.009008,512
"mpiTime",0.009229,512
"mpiTime",0.009429,512
"mpiTime",0.009635,512
"mpiTime",0.009839,512
"mpiTime",0.008809,512
"mpiTime",0.012248,1024
"mpiTime",0.012715,1024
"mpiTime",0.013233,1024
"mpiTime",0.013218,1024
"mpiTime",0.013664,1024
"mpiTime",0.014634,1024
"mpiTime",0.014788,1024
"mpiTime",0.015526,1024
"mpiTime",0.016066,1024
"mpiTime",0.017052,1024
"mpiTime",0.016852,1024
"mpiTime",0.018031,1024
"mpiTime",0.01813,1024
"mpiTime",0.019198,1024
"mpiTime",0.020271,1024
"mpiTime",0.020102,1024
"mpiTime",0.021964,1024
"mpiTime",0.022413,1024
"mpiTime",0.02311,1024
"mpiTime",0.023574,1024
"mpiTime",0.024599,1024
"mpiTime",0.025065,1024
"mpiTime",0.02593,1024
"mpiTime",0.026515,1024
"mpiTime",0.027554,1024
"mpiTime",0.028352,1024
"mpiTime",0.029162,1024
"mpiTime",0.030265,1024
"mpiTime",0.031068,1024
"mpiTime",0.031975,1024
"mpiTime",0.033039,1024
"mpiTime",0.025751,1024
"mpiTime",0.067339,2048
"mpiTime",0.067982,2048
"mpiTime",0.069063,2048
"mpiTime",0.071182,2048
"mpiTime",0.073001,2048
"mpiTime",0.074394,2048
"mpiTime",0.077732,2048
"mpiTime",0.079058,2048
"mpiTime",0.083141,2048
"mpiTime",0.085237,2048
"mpiTime",0.088318,2048
"mpiTime",0.090424,2048
"mpiTime",0.093773,2048
"mpiTime",0.098441,2048
"mpiTime",0.102859,2048
"mpiTime",0.107888,2048
"mpiTime",0.112277,2048
"mpiTime",0.115745,2048
"mpiTime",0.12035,2048
"mpiTime",0.125142,2048
"mpiTime",0.130254,2048
"mpiTime",0.135948,2048
"mpiTime",0.141735,2048
"mpiTime",0.147866,2048
"mpiTime",0.155216,2048
"mpiTime",0.161055,2048
"mpiTime",0.167461,2048
"mpiTime",0.173908,2048
"mpiTime",0.180824,2048
"mpiTime",0.18801,2048
"mpiTime",0.195377,2048
"mpiTime",0.179971,2048
"mpiTime",0.670268,4096
"mpiTime",0.268652,4096
"mpiTime",0.28448,4096
"mpiTime",0.27655,4096
"mpiTime",0.292423,4096
"mpiTime",0.305247,4096
"mpiTime",0.748906,4096
"mpiTime",0.345918,4096
"mpiTime",0.762599,4096
"mpiTime",0.850852,4096
"mpiTime",0.767028,4096
"mpiTime",0.879603,4096
"mpiTime",0.940432,4096
"mpiTime",0.828612,4096
"mpiTime",0.860142,4096
"mpiTime",0.888241,4096
"mpiTime",1.051304,4096
"mpiTime",1.067186,4096
"mpiTime",1.123591,4096
"mpiTime",1.153359,4096
"mpiTime",1.193445,4096
"mpiTime",1.270613,4096
"mpiTime",1.316031,4096
"mpiTime",1.456839,4096
"mpiTime",2.310115,4096
"mpiTime",2.351732,4096
"mpiTime",2.398676,4096
"mpiTime",2.450275,4096
"mpiTime",2.511784,4096
"mpiTime",2.575653,4096
"mpiTime",2.707765,4096
"mpiTime",2.826201,4096
"mpiTime",1.747226,8192
"mpiTime",1.667112,8192
"mpiTime",1.492604,8192
"mpiTime",1.804799,8192
"mpiTime",1.725601,8192
"mpiTime",2.125773,8192
"mpiTime",2.297118,8192
"mpiTime",2.846419,8192
"mpiTime",5.353411,8192
"mpiTime",5.142742,8192
"mpiTime",5.355191,8192
"mpiTime",5.691454,8192
"mpiTime",5.896475,8192
"mpiTime",6.287044,8192
"mpiTime",6.88194,8192
"mpiTime",7.584183,8192
"mpiTime",12.794647,8192
"mpiTime",12.955478,8192
"mpiTime",13.299699,8192
"mpiTime",13.751361,8192
"mpiTime",14.384983,8192
"mpiTime",15.150931,8192
"mpiTime",16.106443,8192
"mpiTime",17.24762,8192
"mpiTime",23.326514,8192
"mpiTime",23.672303,8192
"mpiTime",24.18438,8192
"mpiTime",24.822567,8192
"mpiTime",25.648626,8192
"mpiTime",26.832678,8192
"mpiTime",28.170233,8192
"mpiTime",29.510948,8192
"mpiTime",0.000354,64
"mpiTime",0.005095,64
"mpiTime",0.008907,64
"mpiTime",0.010255,64
"mpiTime",0.010329,64
"mpiTime",0.010399,64
"mpiTime",0.010482,64
"mpiTime",0.010564,64
"mpiTime",0.010653,64
"mpiTime",0.010779,64
"mpiTime",0.010847,64
"mpiTime",0.010925,64
"mpiTime",0.010989,64
"mpiTime",0.011039,64
"mpiTime",0.011139,64
"mpiTime",0.011218,64
"mpiTime",0.001583,64
"mpiTime",0.011378,64
"mpiTime",0.002645,64
"mpiTime",0.006038,64
"mpiTime",0.003766,64
"mpiTime",0.01074,64
"mpiTime",0.011701,64
"mpiTime",0.011765,64
"mpiTime",0.011823,64
"mpiTime",0.009281,64
"mpiTime",0.012028,64
"mpiTime",0.012098,64
"mpiTime",0.012162,64
"mpiTime",0.008187,64
"mpiTime",0.012355,64
"mpiTime",0.012392,64
"mpiTime",0.005056,512
"mpiTime",0.005143,512
"mpiTime",0.005235,512
"mpiTime",0.005349,512
"mpiTime",0.005448,512
"mpiTime",0.005539,512
"mpiTime",0.005651,512
"mpiTime",0.005721,512
"mpiTime",0.005859,512
"mpiTime",0.006057,512
"mpiTime",0.00615,512
"mpiTime",0.006259,512
"mpiTime",0.006395,512
"mpiTime",0.0065,512
"mpiTime",0.006624,512
"mpiTime",0.006742,512
"mpiTime",0.006949,512
"mpiTime",0.007128,512
"mpiTime",0.007324,512
"mpiTime",0.007555,512
"mpiTime",0.007747,512
"mpiTime",0.007954,512
"mpiTime",0.008149,512
"mpiTime",0.008377,512
"mpiTime",0.008585,512
"mpiTime",0.008846,512
"mpiTime",0.00905,512
"mpiTime",0.009259,512
"mpiTime",0.009456,512
"mpiTime",0.009646,512
"mpiTime",0.009859,512
"mpiTime",0.008829,512
"mpiTime",0.012789,1024
"mpiTime",0.013327,1024
"mpiTime",0.013858,1024
"mpiTime",0.014005,1024
"mpiTime",0.014407,1024
"mpiTime",0.014989,1024
"mpiTime",0.015656,1024
"mpiTime",0.016284,1024
"mpiTime",0.016545,1024
"mpiTime",0.017481,1024
"mpiTime",0.017612,1024
"mpiTime",0.018422,1024
"mpiTime",0.0195,1024
"mpiTime",0.019388,1024
"mpiTime",0.02024,1024
"mpiTime",0.021494,1024
"mpiTime",0.021765,1024
"mpiTime",0.022189,1024
"mpiTime",0.024123,1024
"mpiTime",0.024679,1024
"mpiTime",0.025185,1024
"mpiTime",0.025912,1024
"mpiTime",0.026613,1024
"mpiTime",0.027133,1024
"mpiTime",0.028314,1024
"mpiTime",0.029172,1024
"mpiTime",0.03021,1024
"mpiTime",0.0309,1024
"mpiTime",0.031697,1024
"mpiTime",0.03268,1024
"mpiTime",0.033668,1024
"mpiTime",0.026303,1024
"mpiTime",0.068683,2048
"mpiTime",0.068311,2048
"mpiTime",0.068965,2048
"mpiTime",0.070007,2048
"mpiTime",0.072448,2048
"mpiTime",0.074122,2048
"mpiTime",0.07711,2048
"mpiTime",0.080766,2048
"mpiTime",0.083466,2048
"mpiTime",0.085584,2048
"mpiTime",0.088324,2048
"mpiTime",0.0909,2048
"mpiTime",0.094087,2048
"mpiTime",0.098985,2048
"mpiTime",0.103526,2048
"mpiTime",0.107456,2048
"mpiTime",0.112231,2048
"mpiTime",0.116214,2048
"mpiTime",0.121098,2048
"mpiTime",0.125537,2048
"mpiTime",0.130467,2048
"mpiTime",0.136431,2048
"mpiTime",0.141899,2048
"mpiTime",0.148258,2048
"mpiTime",0.15562,2048
"mpiTime",0.161571,2048
"mpiTime",0.167574,2048
"mpiTime",0.17431,2048
"mpiTime",0.181081,2048
"mpiTime",0.188267,2048
"mpiTime",0.195663,2048
"mpiTime",0.180267,2048
"mpiTime",0.243242,4096
"mpiTime",0.214409,4096
"mpiTime",0.20514,4096
"mpiTime",0.237813,4096
"mpiTime",0.224201,4096
"mpiTime",0.258964,4096
"mpiTime",0.31539,4096
"mpiTime",0.34447,4096
"mpiTime",0.943496,4096
"mpiTime",0.950839,4096
"mpiTime",1.170715,4096
"mpiTime",1.173907,4096
"mpiTime",0.988073,4096
"mpiTime",1.018939,4096
"mpiTime",1.037178,4096
"mpiTime",1.175686,4096
"mpiTime",1.471178,4096
"mpiTime",1.474075,4096
"mpiTime",1.499273,4096
"mpiTime",1.549703,4096
"mpiTime",1.589218,4096
"mpiTime",1.665159,4096
"mpiTime",1.733943,4096
"mpiTime",1.847482,4096
"mpiTime",2.688985,4096
"mpiTime",2.73055,4096
"mpiTime",2.778771,4096
"mpiTime",2.83022,4096
"mpiTime",2.886488,4096
"mpiTime",2.957408,4096
"mpiTime",3.089101,4096
"mpiTime",3.210185,4096
"mpiTime",1.197515,8192
"mpiTime",1.669564,8192
"mpiTime",1.258373,8192
"mpiTime",1.27526,8192
"mpiTime",1.319701,8192
"mpiTime",1.568632,8192
"mpiTime",1.886122,8192
"mpiTime",2.138182,8192
"mpiTime",4.636187,8192
"mpiTime",4.70117,8192
"mpiTime",4.924847,8192
"mpiTime",5.662702,8192
"mpiTime",5.527491,8192
"mpiTime",5.889157,8192
"mpiTime",6.508066,8192
"mpiTime",7.226909,8192
"mpiTime",12.194704,8192
"mpiTime",12.401274,8192
"mpiTime",12.787,8192
"mpiTime",13.232654,8192
"mpiTime",13.842271,8192
"mpiTime",14.670213,8192
"mpiTime",15.599247,8192
"mpiTime",16.736871,8192
"mpiTime",22.846642,8192
"mpiTime",23.216125,8192
"mpiTime",23.711579,8192
"mpiTime",24.333615,8192
"mpiTime",25.163423,8192
"mpiTime",26.326663,8192
"mpiTime",27.676298,8192
"mpiTime",29.008822,8192
"mpiTime",0.000355,64
"mpiTime",0.002982,64
"mpiTime",0.00672,64
"mpiTime",0.013201,64
"mpiTime",0.020133,64
"mpiTime",0.02391,64
"mpiTime",0.023992,64
"mpiTime",0.024068,64
"mpiTime",0.024151,64
"mpiTime",0.024282,64
"mpiTime",0.024345,64
"mpiTime",0.024421,64
"mpiTime",0.024487,64
"mpiTime",0.024554,64
"mpiTime",0.024632,64
"mpiTime",0.024713,64
"mpiTime",0.005569,64
"mpiTime",0.001645,64
"mpiTime",0.023441,64
"mpiTime",0.019,64
"mpiTime",0.012097,64
"mpiTime",0.01402,64
"mpiTime",0.003038,64
"mpiTime",0.021306,64
"mpiTime",0.016772,64
"mpiTime",0.007817,64
"mpiTime",0.005729,64
"mpiTime",0.004416,64
"mpiTime",0.025786,64
"mpiTime",0.008933,64
"mpiTime",0.025925,64
"mpiTime",0.025868,64
"mpiTime",0.004963,512
"mpiTime",0.00502,512
"mpiTime",0.005115,512
"mpiTime",0.005245,512
"mpiTime",0.005334,512
"mpiTime",0.005415,512
"mpiTime",0.005541,512
"mpiTime",0.005665,512
"mpiTime",0.005759,512
"mpiTime",0.005933,512
"mpiTime",0.006051,512
"mpiTime",0.006146,512
"mpiTime",0.006279,512
"mpiTime",0.006395,512
"mpiTime",0.006539,512
"mpiTime",0.006657,512
"mpiTime",0.006823,512
"mpiTime",0.007012,512
"mpiTime",0.007209,512
"mpiTime",0.007429,512
"mpiTime",0.007622,512
"mpiTime",0.007824,512
"mpiTime",0.008003,512
"mpiTime",0.008221,512
"mpiTime",0.008462,512
"mpiTime",0.008702,512
"mpiTime",0.008885,512
"mpiTime",0.009117,512
"mpiTime",0.009325,512
"mpiTime",0.009531,512
"mpiTime",0.00974,512
"mpiTime",0.008733,512
"mpiTime",0.012253,1024
"mpiTime",0.012735,1024
"mpiTime",0.013146,1024
"mpiTime",0.013346,1024
"mpiTime",0.013675,1024
"mpiTime",0.014525,1024
"mpiTime",0.014444,1024
"mpiTime",0.015216,1024
"mpiTime",0.015913,1024
"mpiTime",0.016599,1024
"mpiTime",0.017137,1024
"mpiTime",0.017822,1024
"mpiTime",0.01848,1024
"mpiTime",0.018869,1024
"mpiTime",0.019728,1024
"mpiTime",0.020608,1024
"mpiTime",0.021963,1024
"mpiTime",0.022531,1024
"mpiTime",0.023413,1024
"mpiTime",0.02385,1024
"mpiTime",0.023873,1024
"mpiTime",0.025333,1024
"mpiTime",0.025959,1024
"mpiTime",0.026915,1024
"mpiTime",0.027919,1024
"mpiTime",0.02835,1024
"mpiTime",0.029289,1024
"mpiTime",0.030213,1024
"mpiTime",0.031012,1024
"mpiTime",0.031995,1024
"mpiTime",0.032942,1024
"mpiTime",0.025794,1024
"mpiTime",0.068168,2048
"mpiTime",0.068839,2048
"mpiTime",0.069318,2048
"mpiTime",0.070403,2048
"mpiTime",0.073595,2048
"mpiTime",0.074947,2048
"mpiTime",0.077537,2048
"mpiTime",0.079935,2048
"mpiTime",0.083251,2048
"mpiTime",0.085193,2048
"mpiTime",0.087829,2048
"mpiTime",0.091281,2048
"mpiTime",0.09431,2048
"mpiTime",0.098781,2048
"mpiTime",0.102767,2048
"mpiTime",0.107809,2048
"mpiTime",0.112303,2048
"mpiTime",0.115841,2048
"mpiTime",0.120859,2048
"mpiTime",0.125246,2048
"mpiTime",0.130227,2048
"mpiTime",0.136255,2048
"mpiTime",0.141844,2048
"mpiTime",0.148027,2048
"mpiTime",0.155141,2048
"mpiTime",0.16121,2048
"mpiTime",0.167652,2048
"mpiTime",0.173939,2048
"mpiTime",0.180887,2048
"mpiTime",0.188164,2048
"mpiTime",0.195537,2048
"mpiTime",0.180225,2048
"mpiTime",0.318088,4096
"mpiTime",0.310171,4096
"mpiTime",0.689535,4096
"mpiTime",0.31259,4096
"mpiTime",0.326432,4096
"mpiTime",0.350779,4096
"mpiTime",0.424038,4096
"mpiTime",0.808574,4096
"mpiTime",0.842581,4096
"mpiTime",0.898438,4096
"mpiTime",0.862389,4096
"mpiTime",0.87815,4096
"mpiTime",0.944908,4096
"mpiTime",0.988211,4096
"mpiTime",1.01442,4096
"mpiTime",0.995704,4096
"mpiTime",0.971624,4096
"mpiTime",1.026094,4096
"mpiTime",0.997566,4096
"mpiTime",1.056016,4096
"mpiTime",1.103659,4096
"mpiTime",1.122906,4096
"mpiTime",1.217916,4096
"mpiTime",1.346138,4096
"mpiTime",2.234765,4096
"mpiTime",2.279506,4096
"mpiTime",2.328073,4096
"mpiTime",2.388601,4096
"mpiTime",2.433963,4096
"mpiTime",2.502961,4096
"mpiTime",2.631479,4096
"mpiTime",2.745905,4096
"mpiTime",1.32729,8192
"mpiTime",12.211598,8192
"mpiTime",1.188921,8192
"mpiTime",1.356729,8192
"mpiTime",1.20391,8192
"mpiTime",1.378244,8192
"mpiTime",1.575122,8192
"mpiTime",1.824924,8192
"mpiTime",2.143307,8192
"mpiTime",4.787734,8192
"mpiTime",4.897682,8192
"mpiTime",5.358101,8192
"mpiTime",5.292758,8192
"mpiTime",5.721648,8192
"mpiTime",6.158321,8192
"mpiTime",6.631732,8192
"mpiTime",7.452292,8192
"mpiTime",12.386649,8192
"mpiTime",12.756074,8192
"mpiTime",13.196105,8192
"mpiTime",13.814308,8192
"mpiTime",14.606299,8192
"mpiTime",15.536407,8192
"mpiTime",16.626817,8192
"mpiTime",22.780982,8192
"mpiTime",23.129684,8192
"mpiTime",23.643489,8192
"mpiTime",24.283304,8192
"mpiTime",25.105168,8192
"mpiTime",26.302951,8192
"mpiTime",27.658017,8192
"mpiTime",28.979395,8192
"mpiTime",0.000488,64
"mpiTime",0.003122,64
"mpiTime",0.004714,64
"mpiTime",0.004796,64
"mpiTime",0.00488,64
"mpiTime",0.004942,64
"mpiTime",0.005008,64
"mpiTime",0.005092,64
"mpiTime",0.00516,64
"mpiTime",0.005289,64
"mpiTime",0.005342,64
"mpiTime",0.005422,64
"mpiTime",0.005505,64
"mpiTime",0.005572,64
"mpiTime",0.00564,64
"mpiTime",0.00573,64
"mpiTime",0.005799,64
"mpiTime",0.005845,64
"mpiTime",0.005933,64
"mpiTime",0.006007,64
"mpiTime",0.006074,64
"mpiTime",0.006135,64
"mpiTime",0.006203,64
"mpiTime",0.006286,64
"mpiTime",0.002297,64
"mpiTime",0.003497,64
"mpiTime",0.006587,64
"mpiTime",0.005867,64
"mpiTime",0.006736,64
"mpiTime",0.006874,64
"mpiTime",0.004708,64
"mpiTime",0.006913,64
"mpiTime",0.005001,512
"mpiTime",0.005095,512
"mpiTime",0.005172,512
"mpiTime",0.005294,512
"mpiTime",0.005374,512
"mpiTime",0.005498,512
"mpiTime",0.005586,512
"mpiTime",0.005701,512
"mpiTime",0.005831,512
"mpiTime",0.006007,512
"mpiTime",0.006115,512
"mpiTime",0.0062,512
"mpiTime",0.006341,512
"mpiTime",0.006459,512
"mpiTime",0.006581,512
"mpiTime",0.00671,512
"mpiTime",0.006895,512
"mpiTime",0.00706,512
"mpiTime",0.00724,512
"mpiTime",0.007478,512
"mpiTime",0.007681,512
"mpiTime",0.007887,512
"mpiTime",0.008081,512
"mpiTime",0.008294,512
"mpiTime",0.008518,512
"mpiTime",0.008763,512
"mpiTime",0.008961,512
"mpiTime",0.00917,512
"mpiTime",0.009369,512
"mpiTime",0.009568,512
"mpiTime",0.009785,512
"mpiTime",0.008764,512
"mpiTime",0.01226,1024
"mpiTime",0.012284,1024
"mpiTime",0.013027,1024
"mpiTime",0.013594,1024
"mpiTime",0.013931,1024
"mpiTime",0.0141,1024
"mpiTime",0.01503,1024
"mpiTime",0.01548,1024
"mpiTime",0.014848,1024
"mpiTime",0.016933,1024
"mpiTime",0.017389,1024
"mpiTime",0.018101,1024
"mpiTime",0.018122,1024
"mpiTime",0.018837,1024
"mpiTime",0.019703,1024
"mpiTime",0.019729,1024
"mpiTime",0.022003,1024
"mpiTime",0.022498,1024
"mpiTime",0.022534,1024
"mpiTime",0.023921,1024
"mpiTime",0.024363,1024
"mpiTime",0.025366,1024
"mpiTime",0.025671,1024
"mpiTime",0.026792,1024
"mpiTime",0.027431,1024
"mpiTime",0.028116,1024
"mpiTime",0.029044,1024
"mpiTime",0.030045,1024
"mpiTime",0.03082,1024
"mpiTime",0.031956,1024
"mpiTime",0.032902,1024
"mpiTime",0.02581,1024
"mpiTime",0.068869,2048
"mpiTime",0.068197,2048
"mpiTime",0.070583,2048
"mpiTime",0.071379,2048
"mpiTime",0.073301,2048
"mpiTime",0.075396,2048
"mpiTime",0.077331,2048
"mpiTime",0.079872,2048
"mpiTime",0.082624,2048
"mpiTime",0.084724,2048
"mpiTime",0.088434,2048
"mpiTime",0.090606,2048
"mpiTime",0.094201,2048
"mpiTime",0.098934,2048
"mpiTime",0.102977,2048
"mpiTime",0.107668,2048
"mpiTime",0.1126,2048
"mpiTime",0.116155,2048
"mpiTime",0.121275,2048
"mpiTime",0.125845,2048
"mpiTime",0.130579,2048
"mpiTime",0.136518,2048
"mpiTime",0.141708,2048
"mpiTime",0.148188,2048
"mpiTime",0.155515,2048
"mpiTime",0.161122,2048
"mpiTime",0.167669,2048
"mpiTime",0.174049,2048
"mpiTime",0.180921,2048
"mpiTime",0.18827,2048
"mpiTime",0.195593,2048
"mpiTime",0.18022,2048
"mpiTime",0.700003,4096
"mpiTime",0.446058,4096
"mpiTime",0.452995,4096
"mpiTime",0.447565,4096
"mpiTime",0.86048,4096
"mpiTime",0.500143,4096
"mpiTime",0.47178,4096
"mpiTime",0.559967,4096
"mpiTime",0.506593,4096
"mpiTime",0.506512,4096
"mpiTime",0.573297,4096
"mpiTime",0.536458,4096
"mpiTime",0.953067,4096
"mpiTime",0.610394,4096
"mpiTime",0.650443,4096
"mpiTime",0.675494,4096
"mpiTime",1.173249,4096
"mpiTime",1.159615,4096
"mpiTime",1.201316,4096
"mpiTime",1.234248,4096
"mpiTime",1.279011,4096
"mpiTime",1.315233,4096
"mpiTime",1.412061,4096
"mpiTime",1.548567,4096
"mpiTime",2.410396,4096
"mpiTime",2.453515,4096
"mpiTime",2.503929,4096
"mpiTime",2.56707,4096
"mpiTime",2.60755,4096
"mpiTime",2.678941,4096
"mpiTime",2.803103,4096
"mpiTime",2.918861,4096
"mpiTime",1.230759,8192
"mpiTime",12.21765,8192
"mpiTime",1.174332,8192
"mpiTime",12.423986,8192
"mpiTime",1.205712,8192
"mpiTime",12.743245,8192
"mpiTime",1.495017,8192
"mpiTime",13.207891,8192
"mpiTime",1.386876,8192
"mpiTime",13.832274,8192
"mpiTime",1.654121,8192
"mpiTime",14.627773,8192
"mpiTime",1.84468,8192
"mpiTime",15.591077,8192
"mpiTime",2.117801,8192
"mpiTime",16.702236,8192
"mpiTime",4.737789,8192
"mpiTime",22.789091,8192
"mpiTime",4.980843,8192
"mpiTime",23.128116,8192
"mpiTime",4.972317,8192
"mpiTime",23.64136,8192
"mpiTime",5.192125,8192
"mpiTime",24.303604,8192
"mpiTime",5.609295,8192
"mpiTime",25.107236,8192
"mpiTime",6.028025,8192
"mpiTime",26.28296,8192
"mpiTime",6.618363,8192
"mpiTime",27.647044,8192
"mpiTime",7.296026,8192
"mpiTime",28.983908,8192
"mpiTime",0.000757,64
"mpiTime",0.00083,64
"mpiTime",0.000903,64
"mpiTime",0.000967,64
"mpiTime",0.001044,64
"mpiTime",0.001112,64
"mpiTime",0.001172,64
"mpiTime",0.001256,64
"mpiTime",0.00134,64
"mpiTime",0.001481,64
"mpiTime",0.001528,64
"mpiTime",0.00162,64
"mpiTime",0.001675,64
"mpiTime",0.001754,64
"mpiTime",0.001825,64
